period_y,1W,2W,3W,4W
2018-28,6.0,0.0,0.0,0.0
2018-29,5.0,10.0,0.0,0.0
2018-30,5.0,10.0,10.0,0.0
2018-31,6.0,1.0,10.0,11.0
2018-32,0.0,1.0,10.0,11.0
2018-33,0.0,1.0,1.0,11.0
2018-34,1.0,1.0,1.0,11.0
2018-35,4.0,5.0,1.0,4.0
2018-36,6.0,5.0,7.0,4.0
2018-37,8.0,10.0,7.0,4.0
2018-38,2.0,10.0,7.0,4.0
2018-39,4.0,2.0,10.0,10.0
2018-40,8.0,2.0,10.0,10.0
2018-41,2.0,5.0,10.0,10.0
2018-42,2.0,5.0,4.0,10.0
2018-43,2.0,5.0,4.0,3.0
2018-44,2.0,5.0,4.0,3.0
2018-45,3.0,6.0,5.0,3.0
2018-46,3.0,6.0,5.0,3.0
2018-47,4.0,1.0,5.0,4.0
2018-48,5.0,1.0,6.0,4.0
2018-49,6.0,3.0,6.0,4.0
2018-50,0.0,3.0,6.0,4.0
2018-51,0.0,0.0,0.0,0.0
